id,email,naam,pass,is_admin,cms_usergroups_id,valid_firstday,valid_lastday,deleted
1,some.admin@boxtribute.org,"some admin",bf13b44feae208fc808b1d6b2266edb7,1,NULL,NULL,NULL,"0000-00-00 00:00:00"
2,jane.doe@boxaid.co,"Jane Doe",bf13b44feae208fc808b1d6b2266edb7,0,1,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
3,joe.doe@boxaid.co,"Joe Doe",bf13b44feae208fc808b1d6b2266edb7,0,2,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
4,stagingenv_volunteer@boxtribute.org,Volunteer,bf13b44feae208fc808b1d6b2266edb7,0,3,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
5,stagingenv_coordinator@boxtribute.org,Coordinator,bf13b44feae208fc808b1d6b2266edb7,0,2,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
6,stagingenv_headofops@boxtribute.org,"Head of Operations",bf13b44feae208fc808b1d6b2266edb7,0,1,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
7,dev_volunteer@boxaid.org,"Dev Volunteer",bf13b44feae208fc808b1d6b2266edb7,0,3,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
8,dev_coordinator@boxaid.org,"Dev Coordinator",bf13b44feae208fc808b1d6b2266edb7,0,2,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
9,dev_headofops@boxaid.org,"Dev Head of Operations",bf13b44feae208fc808b1d6b2266edb7,0,1,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
10,jane.doe@boxcare.co,"Jane Doe",bf13b44feae208fc808b1d6b2266edb7,0,10,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
11,joe.doe@boxcare.co,"Joe Doe",bf13b44feae208fc808b1d6b2266edb7,0,11,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
12,sam.sample@boxcare.co,"Sam Sample",bf13b44feae208fc808b1d6b2266edb7,0,12,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
15,joe.bloggs@boxcare.co,"Joe Bloggs",bf13b44feae208fc808b1d6b2266edb7,0,15,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
16,dev_volunteer@boxcare.org,"Dev Volunteer",bf13b44feae208fc808b1d6b2266edb7,0,16,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
17,dev_coordinator@boxcare.org,"Dev Coordinator",bf13b44feae208fc808b1d6b2266edb7,0,15,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
18,dev_headofops@boxcare.org,"Dev Head of Operations",bf13b44feae208fc808b1d6b2266edb7,0,10,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000000,admin@admin.co,BrowserTestUser_Admin,bf13b44feae208fc808b1d6b2266edb7,0,100000002,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000001,coordinator@coordinator.co,BrowserTestUser_Coordinator,bf13b44feae208fc808b1d6b2266edb7,0,100000001,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000002,user@user.co,BrowserTestUser_User,bf13b44feae208fc808b1d6b2266edb7,0,100000000,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000003,notactivated@notactivated.com,NotActived,bf13b44feae208fc808b1d6b2266edb7,0,100000000,2119-07-20,2119-07-31,"0000-00-00 00:00:00"
100000004,expired@expired.co,"Expired User",bf13b44feae208fc808b1d6b2266edb7,0,100000000,2019-07-01,2019-07-09,"0000-00-00 00:00:00"
100000005,deleted@deleted.co.deleted.100000005,"Deleted User",bf13b44feae208fc808b1d6b2266edb7,0,100000000,0000-00-00,0000-00-00,"2019-07-10 08:15:50"
100000006,noPermissions@noPermissions.co,BrowserTestUser_UserWithNoPermissions,bf13b44feae208fc808b1d6b2266edb7,0,100000003,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000007,deactivateTest@deactivateTest.co,BrowserTestUser_DeactivateTest,bf13b44feae208fc808b1d6b2266edb7,0,100000000,0000-00-00,0000-00-00,"0000-00-00 00:00:00"
100000008,pending@pending.co,BrowserTestUser_Pending,bf13b44feae208fc808b1d6b2266edb7,0,100000000,2022-12-20,2023-12-20,"0000-00-00 00:00:00"
100000009,deleted_coordinator@deleted.co.deleted.100000009,"Deleted Coordinator",bf13b44feae208fc808b1d6b2266edb7,0,100000001,2018-05-26,2019-05-26,"2019-07-10 08:15:50"
100000010,deleted_admin@deleted.co.deleted.100000010,"Deleted Admin",bf13b44feae208fc808b1d6b2266edb7,0,100000002,0000-00-00,0000-00-00,"2019-07-10 08:15:50"
100000011,expired_coordinator@expired.co,"Expired Coordinator",bf13b44feae208fc808b1d6b2266edb7,0,100000001,2017-04-11,2017-05-28,"0000-00-00 00:00:00"
100000012,expired_admin@expired.co,"Expired Admin",bf13b44feae208fc808b1d6b2266edb7,0,100000002,2017-04-11,2017-05-28,"0000-00-00 00:00:00"
